support,itemsets
0.162,frozenset({'Coffee'})
0.15966666666666668,frozenset({'Bread'})
0.15933333333333333,frozenset({'Chips'})
0.15866666666666668,frozenset({'Carrots'})
0.15666666666666668,frozenset({'Chicken'})
0.155,frozenset({'Apples'})
0.154,frozenset({'Potatoes'})
0.15333333333333332,frozenset({'Ice Cream'})
0.15233333333333332,frozenset({'Lettuce'})
0.152,frozenset({'Beef'})
0.15166666666666667,frozenset({'Tea'})
0.15133333333333332,frozenset({'Tomato Sauce'})
0.15,frozenset({'Fish'})
0.14933333333333335,frozenset({'Frozen Pizza'})
0.149,frozenset({'Pasta'})
0.14833333333333334,frozenset({'Butter'})
0.14833333333333334,frozenset({'Toothpaste'})
0.14733333333333334,frozenset({'Yogurt'})
0.14733333333333334,frozenset({'Cookies'})
0.147,frozenset({'Soda'})
0.14633333333333334,frozenset({'Cheese'})
0.145,frozenset({'Onions'})
0.14433333333333334,frozenset({'Cereal'})
0.144,frozenset({'Soap'})
0.144,frozenset({'Eggs'})
0.14366666666666666,frozenset({'Milk'})
0.143,frozenset({'Bananas'})
0.14266666666666666,frozenset({'Juice'})
0.14133333333333334,frozenset({'Rice'})
0.14066666666666666,frozenset({'Shampoo'})
